trip_id,time_s,phase,lon_deg,lat_deg,altitude_m,payload_kg
T034,8180.952913129005,巡航,109.23727051384616,23.06930824307692,398.2391662597656,0.0
T034,8190.843549602232,巡航,109.23715790307692,23.06824159846154,398.2391662597656,0.0
T034,8200.734186075459,巡航,109.2370452923077,23.067174953846155,398.2391662597656,0.0
T034,8210.624822548687,巡航,109.23693268153846,23.06610830923077,398.2391662597656,0.0
T034,8220.515459021914,巡航,109.23682007076923,23.065041664615386,398.2391662597656,0.0
T034,8230.40609549514,巡航,109.23670746,23.06397502,398.2391662597656,0.0
T034,8240.296731968368,巡航,109.23659484923077,23.062908375384616,398.2391662597656,0.0
T034,8250.187368441595,巡航,109.23648223846153,23.06184173076923,398.2391662597656,0.0
T034,8260.078004914822,巡航,109.23636962769231,23.060775086153846,398.2391662597656,0.0
T034,8269.968641388048,巡航,109.23625701692308,23.05970844153846,398.2391662597656,0.0
T034,8279.859277861276,巡航,109.23614440615384,23.058641796923077,398.2391662597656,0.0
T034,8289.749914334503,巡航,109.23603179538462,23.05757515230769,398.2391662597656,0.0
T034,8299.64055080773,巡航,109.23591918461538,23.056508507692307,398.2391662597656,0.0
T034,8309.531187280958,巡航,109.23580657384615,23.055441863076922,398.2391662597656,0.0
T034,8319.421823754185,巡航,109.23569396307693,23.054375218461537,398.2391662597656,0.0
T034,8329.312460227411,巡航,109.23558135230769,23.053308573846152,398.2391662597656,0.0
T034,8339.20309670064,巡航,109.23546874153845,23.052241929230767,398.2391662597656,0.0
T034,8349.093733173866,巡航,109.23535613076923,23.051175284615386,398.2391662597656,0.0
T034,8358.984369647093,巡航,109.23524352,23.05010864,398.2391662597656,0.0
T034,8368.87500612032,巡航,109.23513090923078,23.049041995384616,398.2391662597656,0.0
T034,8378.765642593547,巡航,109.23501829846154,23.04797535076923,398.2391662597656,0.0
T034,8388.656279066774,巡航,109.2349056876923,23.046908706153847,398.2391662597656,0.0
T034,8398.546915540002,巡航,109.23479307692308,23.045842061538462,398.2391662597656,0.0
