uav_id,trip_id,phase,start_s,end_s,run_id
U03,T012,下降,2172.007175523608,2205.3118776720457,20260923_191417_344885
U03,T012,交接,2205.3118776720457,2385.3118776720457,20260923_191417_344885
U03,T012,爬升,2385.3118776720457,2413.0657961290767,20260923_191417_344885
U03,T012,巡航,2413.0657961290767,2647.0719821858806,20260923_191417_344885
U03,T012,下降,2647.0719821858806,2714.136684334318,20260923_191417_344885
U07,T013,准备装载,1692.1690773291593,2262.1690773291593,20260923_191417_344885
U07,T013,爬升,2262.1690773291593,2357.5282130713467,20260923_191417_344885
U07,T013,巡航,2357.5282130713467,2569.942091632257,20260923_191417_344885
U07,T013,下降,2569.942091632257,2595.5910113099917,20260923_191417_344885
U07,T013,交接,2595.5910113099917,2811.5910113099917,20260923_191417_344885
U07,T013,爬升,2811.5910113099917,2921.8155425599916,20260923_191417_344885
U07,T013,巡航,2921.8155425599916,3088.9783259447354,20260923_191417_344885
U07,T013,下降,3088.9783259447354,3209.9089900072354,20260923_191417_344885
U07,T013,交接,3209.9089900072354,3569.9089900072354,20260923_191417_344885
U07,T013,爬升,3569.9089900072354,3631.676275163485,20260923_191417_344885
U07,T013,巡航,3631.676275163485,3779.633570624327,20260923_191417_344885
U07,T013,下降,3779.633570624327,3793.8426770696396,20260923_191417_344885
U07,T013,交接,3793.8426770696396,4081.8426770696396,20260923_191417_344885
U07,T013,爬升,4081.8426770696396,4120.762379218077,20260923_191417_344885
U07,T013,巡航,4120.762379218077,4521.3879106594295,20260923_191417_344885
U07,T013,下降,4521.3879106594295,4743.437538344977,20260923_191417_344885
U02,T014,准备装载,1795.8217539638572,2125.821753963857,20260923_191417_344885
U02,T014,爬升,2125.821753963857,2180.9980580816955,20260923_191417_344885
U02,T014,巡航,2180.9980580816955,2656.4268049381153,20260923_191417_344885
U02,T014,下降,2656.4268049381153,2681.7183698795216,20260923_191417_344885
U02,T014,交接,2681.7183698795216,2861.7183698795216,20260923_191417_344885
U02,T014,爬升,2861.7183698795216,2882.7946739973604,20260923_191417_344885
U02,T014,巡航,2882.7946739973604,3358.22342085378,20260923_191417_344885
U02,T014,下降,3358.22342085378,3424.4349857951865,20260923_191417_344885
U08,T015,准备装载,2173.812384815261,2683.812384815261,20260923_191417_344885
U08,T015,爬升,2683.812384815261,2857.454040088698,20260923_191417_344885
U08,T015,巡航,2857.454040088698,3341.6659905257984,20260923_191417_344885
U08,T015,下降,3341.6659905257984,3453.3180596175953,20260923_191417_344885
U08,T015,交接,3453.3180596175953,3885.3180596175953,20260923_191417_344885
U08,T015,爬升,3885.3180596175953,3974.639714891033,20260923_191417_344885
U08,T015,巡航,3974.639714891033,4458.851665328133,20260923_191417_344885
U08,T015,下降,4458.851665328133,4675.90373441993,20260923_191417_344885
U04,T016,准备装载,2278.0703326671837,2608.0703326671837,20260923_191417_344885
U04,T016,爬升,2608.0703326671837,2663.9575844575484,20260923_191417_344885
U04,T016,巡航,2663.9575844575484,2897.9637705143523,20260923_191417_344885
U04,T016,下降,2897.9637705143523,2931.2684726627895,20260923_191417_344885
U04,T016,交接,2931.2684726627895,3111.2684726627895,20260923_191417_344885
U04,T016,爬升,3111.2684726627895,3139.022391119821,20260923_191417_344885
U04,T016,巡航,3139.022391119821,3373.028577176625,20260923_191417_344885
U04,T016,下降,3373.028577176625,3440.093279325062,20260923_191417_344885
U03,T017,准备装载,2714.136684334318,3044.136684334318,20260923_191417_344885
U03,T017,爬升,3044.136684334318,3092.5888877034586,20260923_191417_344885
U03,T017,巡航,3092.5888877034586,3347.0871246633337,20260923_191417_344885
U03,T017,下降,3347.0871246633337,3382.7097687063024,20260923_191417_344885
U03,T017,交接,3382.7097687063024,3562.7097687063024,20260923_191417_344885
U03,T017,爬升,3562.7097687063024,3592.3953054087765,20260923_191417_344885
U03,T017,巡航,3592.3953054087765,3846.8935423686517,20260923_191417_344885
U03,T017,下降,3846.8935423686517,3905.0361864116203,20260923_191417_344885
U01,T018,准备装载,3165.680668264692,3495.680668264692,20260923_191417_344885
U01,T018,爬升,3495.680668264692,3544.1328716338326,20260923_191417_344885
U01,T018,巡航,3544.1328716338326,3798.6311085937077,20260923_191417_344885
U01,T018,下降,3798.6311085937077,3834.2537526366764,20260923_191417_344885
U01,T018,交接,3834.2537526366764,4014.2537526366764,20260923_191417_344885
U01,T018,爬升,4014.2537526366764,4043.9392893391505,20260923_191417_344885
U01,T018,巡航,4043.9392893391505,4298.437526299025,20260923_191417_344885
U01,T018,下降,4298.437526299025,4356.580170341995,20260923_191417_344885
U05,T019,准备装载,3305.1359822126738,3635.1359822126738,20260923_191417_344885
U05,T019,爬升,3635.1359822126738,3683.5881855818143,20260923_191417_344885
U05,T019,巡航,3683.5881855818143,3887.1867751497143,20260923_191417_344885
U05,T019,下降,3887.1867751497143,3922.809419192683,20260923_191417_344885
U05,T019,交接,3922.809419192683,4102.809419192683,20260923_191417_344885
U05,T019,爬升,4102.809419192683,4132.494955895158,20260923_191417_344885
U05,T019,巡航,4132.494955895158,4336.093545463057,20260923_191417_344885
U05,T019,下降,4336.093545463057,4394.236189506026,20260923_191417_344885
U06,T020,准备装载,3313.2126758462746,3643.2126758462746,20260923_191417_344885
U06,T020,爬升,3643.2126758462746,3691.664879215415,20260923_191417_344885
U06,T020,巡航,3691.664879215415,3895.263468783315,20260923_191417_344885
U06,T020,下降,3895.263468783315,3930.886112826284,20260923_191417_344885
U06,T020,交接,3930.886112826284,4110.886112826284,20260923_191417_344885
U06,T020,爬升,4110.886112826284,4140.571649528758,20260923_191417_344885
U06,T020,巡航,4140.571649528758,4344.170239096658,20260923_191417_344885
