from_node,to_node,distance_m,max_dem_m,cruise_altitude_m,climb_m,descent_m,uav_type,flight_time_s
S004,S005,2608.141553464183,315.80657958984375,365.80657958984375,137.50657958984374,170.80657958984375,A,331.503287821234
S004,S005,2608.141553464183,315.80657958984375,365.80657958984375,137.50657958984374,170.80657958984375,B,288.03426193016423
S004,S005,2608.141553464183,315.80657958984375,365.80657958984375,137.50657958984374,170.80657958984375,C,314.2820251951382
S004,S006,8705.954300600253,375.2806396484375,425.2806396484375,196.9806396484375,110.48063964843749,A,835.3486607922086
S004,S006,8705.954300600253,375.2806396484375,425.2806396484375,196.9806396484375,110.48063964843749,B,690.2494224488711
S004,S006,8705.954300600253,375.2806396484375,425.2806396484375,196.9806396484375,110.48063964843749,C,714.429529056944
S004,S007,7096.41861080046,543.2369995117188,593.2369995117188,364.93699951171874,244.73699951171875,A,810.9086838752987
S004,S007,7096.41861080046,543.2369995117188,593.2369995117188,364.93699951171874,244.73699951171875,B,692.6350403619577
S004,S007,7096.41861080046,543.2369995117188,593.2369995117188,364.93699951171874,244.73699951171875,C,741.4378736139108
S004,S008,2611.596348032859,336.83349609375,386.83349609375,158.53349609375,115.93349609375002,A,316.85092613815493
S004,S008,2611.596348032859,336.83349609375,386.83349609375,158.53349609375,115.93349609375002,B,273.3243203376073
S004,S008,2611.596348032859,336.83349609375,386.83349609375,158.53349609375,115.93349609375002,C,295.4865696865656
S004,S009,2985.089052620417,275.2157897949219,325.2157897949219,96.91578979492186,95.21578979492188,A,319.1490002346441
S004,S009,2985.089052620417,275.2157897949219,325.2157897949219,96.91578979492186,95.21578979492188,B,269.39751602430385
S004,S009,2985.089052620417,275.2157897949219,325.2157897949219,96.91578979492186,95.21578979492188,C,285.3801476567908
S004,S010,7545.204777267781,432.957275390625,482.957275390625,254.657275390625,131.35727539062498,A,766.1957333921066
S004,S010,7545.204777267781,432.957275390625,482.957275390625,254.657275390625,131.35727539062498,B,640.4423204376437
S004,S010,7545.204777267781,432.957275390625,482.957275390625,254.657275390625,131.35727539062498,C,670.5551996694146
S004,S011,5403.734548085296,311.138916015625,361.138916015625,132.838916015625,149.038916015625,A,554.2064174185664
S004,S011,5403.734548085296,311.138916015625,361.138916015625,132.838916015625,149.038916015625,B,464.1441749504781
S004,S011,5403.734548085296,311.138916015625,361.138916015625,132.838916015625,149.038916015625,C,487.9039942864156
S004,S012,5285.127317623106,312.0069580078125,362.0069580078125,133.7069580078125,82.20695800781249,A,517.8790456743213
S004,S012,5285.127317623106,312.0069580078125,362.0069580078125,133.7069580078125,82.20695800781249,B,429.7935903806029
S004,S012,5285.127317623106,312.0069580078125,362.0069580078125,133.7069580078125,82.20695800781249,C,446.928083381905
S004,S013,6196.225149188076,322.2989807128906,372.2989807128906,143.9989807128906,20.598980712890636,A,572.5913482884595
S004,S013,6196.225149188076,322.2989807128906,372.2989807128906,143.9989807128906,20.598980712890636,B,469.3209291353249
S004,S013,6196.225149188076,322.2989807128906,372.2989807128906,143.9989807128906,20.598980712890636,C,480.9807592541399
S004,S014,9293.779822341314,505.3861083984375,555.3861083984375,327.0861083984375,204.3861083984375,A,965.2647980206305
S004,S014,9293.779822341314,505.3861083984375,555.3861083984375,327.0861083984375,204.3861083984375,B,810.3684676482751
